idhogar,escolari_person,v2a1,rooms,refrig,v18q1,r4t1,hhsize,cielorazo,dependency,edje,meaneduc,overcrowding,computer,television,qmobilephone,escolari_head,mobilephone,pared,energco,piso,epared,eviv,etecho,tipovivi1,tipovivi2,tipovivi3,tipovivi4,tipovivi5,lugar1,lugar2,lugar3,lugar4,lugar5,lugar6,estadocivil1,estadocivil3,estadocivil4,instlevel1,instlevel2,instlevel5,instlevel7,instlevel8,instlevel9,instlevel,Youth,Target
00edc0d0f,9.166666666666666,0.0,6,1,0.0,2,6,1,0.5,13.0,13.75,2.0,1,1,4,13,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,2,0,0,0,3,0,5,0.3333333333333333,4
0108c62b8,4.833333333333333,0.0,4,1,0.0,2,6,0,0.5,9.0,7.0,3.0,0,0,3,9,1,2,2,1,2.0,1.0,3.0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,1,2,1,0,0,0,3,0.3333333333333333,4
013962b12,12.5,0.0,4,1,0.0,0,2,0,0.0,11.0,12.5,1.0,1,0,2,11,1,2,2,2,3.0,3.0,3.0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,4,0.0,4
013e9ee6a,5.0,0.0,6,1,0.0,0,2,1,8.0,6.0,5.0,0.5,0,0,0,6,0,2,2,3,2.0,2.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,0.0,4
0172ab1d9,8.0,0.0,5,1,0.0,0,5,0,0.66666669,6.0,7.666666499999999,1.6666666,0,0,3,6,1,2,2,2,2.0,2.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,3,0.0,3
0194d569d,0.0,0.0,5,1,0.0,0,1,0,0.0,0.0,0.0,1.6666666,0,0,4,0,1,3,2,2,1.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,4
01c6fcb6e,6.0,0.0,3,1,0.0,0,1,0,8.0,6.0,6.0,1.0,0,0,1,6,1,2,2,2,1.0,1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,3
01d2e2b0b,4.666666666666667,0.0,4,1,0.0,1,3,0,2.0,6.0,6.0,1.5,0,0,0,6,0,2,2,3,2.0,2.0,2.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0.3333333333333333,1
01ff6a086,2.5,0.0,5,1,0.0,0,2,1,8.0,5.0,2.5,1.0,0,1,2,5,1,3,2,3,2.0,2.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,0.0,4
023edfed0,6.666666666666667,84529.0,3,1,0.0,1,3,1,0.5,9.0,10.0,1.5,0,0,2,9,1,3,2,2,3.0,3.0,3.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3,0.3333333333333333,4
0250e0b59,17.333333333333332,0.0,9,1,2.0,0,3,1,2.0,17.0,17.333334,0.60000002,1,1,3,17,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,2,5,0.0,4
029f3d736,7.5,0.0,4,1,0.0,1,4,0,1.0,6.0,10.0,2.0,0,1,3,6,1,2,2,3,3.0,3.0,3.0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,0,1,0,3,0.25,4
02a3da971,6.0,0.0,5,1,0.0,0,2,0,1.0,6.0,6.0,0.66666669,0,0,1,6,1,2,2,3,3.0,3.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,2
02ae50d8f,10.5,0.0,5,1,1.0,0,2,1,0.0,11.0,10.5,0.66666669,0,0,2,11,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0.0,4
02e9bb4e7,4.333333333333333,0.0,4,1,0.0,0,3,0,0.5,0.0,3.0,1.5,0,0,1,0,1,3,2,3,3.0,2.0,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,3
02f34e26c,5.333333333333333,0.0,6,1,0.0,1,6,0,0.5,6.0,8.0,1.5,0,0,4,6,1,2,1,2,3.0,3.0,3.0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,3,0.16666666666666666,2
02ff93d1e,8.833333333333334,0.0,5,1,1.0,1,6,1,0.5,14.0,13.25,2.0,0,1,6,14,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,2,0,5,0.16666666666666666,4
032d9f940,7.0,110000.0,4,1,0.0,1,6,1,0.5,6.0,8.75,3.0,0,1,5,6,1,2,2,3,2.0,2.0,2.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,3,0.16666666666666666,3
033c39c5c,3.75,0.0,4,1,0.0,2,4,0,1.0,6.0,6.0,1.3333334,0,0,2,6,1,2,2,3,3.0,3.0,3.0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,0,0,0,0,3,0.5,3
035bb4b72,10.0,0.0,6,1,2.0,1,6,1,0.5,15.0,12.75,1.5,0,1,5,15,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,2,0,2,0,5,0.16666666666666666,4
0369a5d78,9.0,160000.0,6,1,1.0,1,3,1,0.5,11.0,13.5,1.5,1,0,2,11,1,3,2,3,3.0,3.0,2.0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,1,0,4,0.3333333333333333,4
039745cbe,7.0,0.0,5,1,1.0,1,3,1,0.5,14.0,10.0,1.0,0,1,3,14,1,3,2,3,3.0,3.0,2.0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,5,0.3333333333333333,4
03b23f2b1,9.75,0.0,5,1,1.0,1,4,1,0.33333334,13.0,13.0,2.0,0,0,4,13,1,3,2,3,2.0,2.0,2.0,1,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,1,0,2,0,5,0.25,4
03c6bdf85,3.0,58731.0,3,1,0.0,3,5,1,1.5,5.0,7.0,2.5,0,0,4,4,1,2,2,3,3.0,3.0,3.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,2,0.6,3
03c78a7a9,8.5,0.0,5,1,0.0,0,4,1,1.0,11.0,8.5,1.3333334,1,0,4,11,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,2,0,0,0,4,0.0,4
03d27346e,14.333333333333334,450000.0,6,1,0.0,0,3,1,0.0,19.0,14.333332999999998,1.0,1,0,3,19,1,3,2,3,3.0,3.0,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,5,0.0,4
03f00ec52,6.666666666666667,0.0,3,1,1.0,1,3,1,0.5,9.0,10.0,3.0,0,1,2,9,1,3,2,3,3.0,3.0,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,4,0.3333333333333333,4
03f4e5f4d,9.666666666666666,0.0,5,1,0.0,0,3,1,0.5,6.0,14.5,1.0,0,1,3,6,1,2,2,3,2.0,2.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,3,0.0,1
043cef77c,6.5,0.0,3,1,0.0,0,2,0,1.0,6.0,6.0,2.0,0,0,2,6,1,2,2,2,1.0,1.0,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,4
0473832dd,6.0,0.0,5,1,1.0,1,4,0,1.0,9.0,10.5,1.3333334,0,0,3,9,1,2,2,3,3.0,3.0,3.0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,0.25,4
047659c0f,6.0,0.0,2,1,0.0,0,2,0,0.0,6.0,6.0,2.0,0,0,2,6,1,2,2,1,1.0,1.0,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1
048d64af0,12.0,0.0,7,1,0.0,0,2,1,0.0,11.0,12.0,1.0,0,1,4,11,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,4,0.0,4
04a032c94,8.5,0.0,6,1,0.0,0,2,1,0.0,6.0,8.5,0.5,0,1,2,6,1,3,2,3,2.0,3.0,3.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0.0,4
04a8915f6,6.833333333333333,0.0,5,1,1.0,2,6,1,0.5,11.0,9.75,2.0,1,0,4,11,1,2,2,3,3.0,3.0,3.0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,1,1,1,0,1,0,4,0.3333333333333333,4
04b02301b,11.0,0.0,11,1,2.0,0,3,1,0.5,6.0,11.0,0.75,1,0,2,6,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0.0,4
04b0f3f3a,9.333333333333334,0.0,7,1,0.0,0,3,1,0.0,6.0,9.333333,0.75,1,0,3,6,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,0.0,4
04d0d0d8f,9.0,0.0,4,1,0.0,0,4,1,1.0,8.0,9.5,2.0,0,1,4,8,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0.0,3
04d8420a2,6.0,100000.0,4,1,0.0,0,3,1,0.5,9.0,6.5,1.5,0,1,2,9,1,3,2,3,3.0,3.0,3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0.0,4
0511912b6,12.75,0.0,6,1,1.0,0,4,1,0.0,13.0,12.75,1.3333334,0,0,4,13,1,3,2,3,2.0,3.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,3,0,5,0.0,4
0519a23f5,6.0,0.0,4,1,0.0,0,3,0,0.5,1.0,3.5,1.5,0,0,3,1,1,2,1,2,1.0,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0.0,4
051f67b16,7.0,0.0,5,1,0.0,0,4,1,1.0,6.0,7.666666499999999,1.3333334,0,1,4,6,1,3,2,3,3.0,3.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,3,0.0,3
052da118c,6.0,0.0,4,0,0.0,0,1,1,0.0,6.0,6.0,0.5,0,0,1,6,1,2,2,3,3.0,3.0,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0.0,4
053f09ebb,11.0,0.0,4,1,0.0,0,2,0,1.0,11.0,21.0,1.0,1,0,2,11,1,3,2,3,2.0,2.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0.0,4
054074f61,6.833333333333333,150000.0,5,1,1.0,2,6,1,1.0,11.0,13.333332999999998,2.0,0,0,5,11,1,3,2,3,3.0,3.0,3.0,0,0,1,0,0,1,0,0,0,0,0,2,2,1,1,1,2,0,0,0,4,0.3333333333333333,4
0564f49cd,10.666666666666666,0.0,6,1,1.0,1,3,1,0.5,15.0,14.5,1.0,0,1,2,15,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,5,0.3333333333333333,4
0566c116a,10.0,0.0,4,1,0.0,0,2,1,0.0,9.0,10.0,1.0,0,0,2,9,1,2,2,3,2.0,3.0,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0.0,2
058a60804,10.25,110000.0,5,1,1.0,1,4,1,1.0,12.0,14.5,1.3333334,0,1,4,12,1,3,2,3,3.0,3.0,3.0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,2,0,5,0.25,4
0592dc939,2.857142857142857,0.0,10,1,3.0,3,7,1,1.3333334,6.0,4.5,1.8333334,0,1,10,6,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,2,2,0,0,0,0,3,0.42857142857142855,4
05aef4eec,5.0,85000.0,4,1,0.0,3,5,1,1.5,8.0,9.5,2.5,0,0,4,8,1,3,2,3,2.0,2.0,1.0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,2,1,0,0,0,3,0.6,1
05b0d51e9,3.5,0.0,4,0,0.0,1,2,0,1.0,7.0,7.0,1.0,0,0,1,7,1,2,2,2,2.0,2.0,2.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0.5,1
05e1d4a10,4.666666666666667,0.0,4,1,0.0,2,3,1,2.0,9.0,9.0,1.5,0,0,3,9,1,2,2,2,2.0,2.0,3.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,3,0.6666666666666666,2
05e6eeead,5.5,60000.0,1,0,0.0,0,2,1,0.0,0.0,5.5,2.0,0,0,2,0,1,2,2,2,3.0,3.0,3.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0.0,4
05eff3d5c,6.0,45000.0,5,1,0.0,2,6,1,0.5,6.0,9.0,2.0,0,0,4,6,1,2,2,3,3.0,3.0,3.0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,2,0,2,0,0,0,3,0.3333333333333333,1
0605671a3,12.0,320000.0,4,1,0.0,0,3,1,0.0,14.0,12.0,1.5,0,0,3,14,1,2,2,3,3.0,3.0,3.0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,5,0.0,4
06089482a,5.0,0.0,7,1,0.0,0,2,1,1.0,5.0,5.0,1.0,0,0,3,5,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0.0,2
0609006f6,2.5,0.0,4,1,0.0,0,2,0,8.0,3.0,2.5,1.0,0,0,0,3,0,2,1,2,3.0,1.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0.0,3
061f8ffcf,8.0,0.0,7,1,0.0,0,4,1,0.33333334,6.0,8.0,1.3333334,0,1,4,6,1,3,2,3,3.0,2.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0.0,4
06219c98f,6.8,0.0,5,1,0.0,0,5,1,1.5,5.0,5.5,1.6666666,1,0,4,5,1,2,1,3,3.0,3.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0.0,3
0626809c8,6.0,0.0,7,1,0.0,0,4,1,0.0,6.0,6.0,0.80000001,0,0,3,6,1,2,1,2,2.0,2.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0.0,4
06325b3e6,9.5,0.0,5,1,2.0,1,4,1,1.0,16.0,12.333333,1.3333334,1,1,3,16,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,2,0,5,0.25,4
0664cd4f0,8.2,456432.0,6,1,3.0,2,5,1,1.5,15.0,20.5,1.6666666,1,1,8,15,1,3,2,3,3.0,3.0,3.0,0,1,0,0,0,1,0,0,0,0,0,2,2,0,2,0,0,0,2,0,5,0.4,4
0667ebc47,11.0,170000.0,2,1,0.0,0,2,1,1.0,16.0,16.0,2.0,0,0,2,16,1,2,2,2,3.0,3.0,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0.0,4
066ca7a0a,4.5,50000.0,4,1,0.0,0,2,0,1.0,0.0,0.0,1.0,0,0,2,0,1,2,2,2,1.0,1.0,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,4
0673a6cf3,8.0,0.0,4,1,0.0,0,2,0,1.0,6.0,6.0,3.0,0,0,4,6,1,3,2,2,3.0,2.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0.0,4
06749e51e,10.0,0.0,4,1,1.0,0,4,1,0.0,8.0,10.0,1.3333334,0,0,4,8,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,3,0.0,4
06804be1b,7.6,0.0,5,1,1.0,0,5,1,1.5,7.0,12.0,1.6666666,0,1,5,7,1,3,2,2,3.0,3.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,3,0.0,4
0681b11c9,11.0,0.0,4,1,0.0,0,1,0,0.0,11.0,11.0,0.5,0,0,1,11,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0.0,4
068a639e5,11.666666666666666,150000.0,6,1,0.0,0,3,1,0.5,13.0,12.5,1.0,0,1,4,13,1,3,2,3,3.0,2.0,3.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0.0,4
06ca88023,2.0,0.0,3,1,0.0,7,9,0,3.5,5.0,7.5,4.5,0,0,2,5,1,3,2,2,2.0,2.0,2.0,1,0,0,0,0,0,0,0,0,1,0,7,0,0,5,3,0,0,0,0,2,0.7777777777777778,2
06dba0576,5.4,120000.0,4,1,0.0,2,5,0,0.66666669,11.0,9.0,2.5,0,1,3,11,1,3,2,3,2.0,3.0,3.0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,1,2,0,0,0,4,0.4,4
070cdf915,6.666666666666667,0.0,4,1,0.0,0,3,0,0.0,4.0,6.666666499999999,1.5,0,0,3,4,1,3,2,2,3.0,3.0,3.0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,1,0,0,0,2,0.0,4
07102d194,11.0,0.0,8,1,0.0,0,5,1,0.0,9.0,11.0,0.83333331,1,1,4,9,1,3,2,3,2.0,3.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,3,0.0,4
0723fe311,10.333333333333334,0.0,5,1,1.0,0,3,1,0.5,9.0,10.333333,1.0,0,0,3,9,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0.0,4
075a0a458,6.75,0.0,4,1,2.0,2,4,1,1.0,11.0,13.0,2.0,0,1,2,11,1,2,2,2,3.0,3.0,3.0,1,0,0,0,0,0,0,0,1,0,0,2,2,0,1,1,1,0,1,0,4,0.5,4
077941bc7,4.25,0.0,6,1,2.0,2,4,0,1.0,6.0,6.0,2.0,0,1,3,6,1,2,2,3,1.0,3.0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,2,0,0,0,0,3,0.5,1
078a0b6e2,3.75,0.0,4,1,0.0,2,4,0,3.0,5.0,5.0,2.0,0,0,2,5,1,3,2,2,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,2,0.5,1
078a9a68e,10.0,0.0,6,1,1.0,0,5,1,1.5,13.0,17.5,1.25,0,0,5,13,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,2,0,1,0,5,0.0,4
07a5de1ba,8.0,100000.0,3,1,0.0,0,3,1,2.0,8.0,8.0,3.0,0,0,1,8,1,2,2,3,3.0,3.0,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,4
07a6cc87c,0.0,0.0,4,1,0.0,0,2,1,8.0,0.0,0.0,1.0,0,0,1,0,1,3,2,3,1.0,2.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0.0,2
07b8d09c3,6.0,0.0,4,1,0.0,1,3,0,0.5,6.0,8.5,1.5,0,0,2,6,1,2,2,2,3.0,3.0,3.0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,0,0,3,0.3333333333333333,4
07d417b1c,6.0,0.0,6,1,1.0,1,5,1,0.66666669,11.0,8.333333,1.6666666,0,1,4,11,1,3,2,3,2.0,3.0,2.0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,1,1,1,0,0,0,4,0.2,3
07f016cb5,11.333333333333334,0.0,5,1,0.0,0,3,1,0.5,9.0,12.0,1.5,1,1,3,9,1,2,2,3,3.0,3.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.0,4
07f72c01f,5.8,0.0,4,1,0.0,1,5,0,1.5,8.0,7.0,2.5,0,0,4,8,1,3,2,2,1.0,1.0,1.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0.2,1
08039fb0e,5.0,120000.0,4,1,0.0,2,6,1,1.0,6.0,9.666667,3.0,0,0,4,6,1,2,2,3,3.0,3.0,3.0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,3,0.3333333333333333,4
08210d8c6,11.0,0.0,6,1,0.0,0,4,1,1.0,15.0,18.5,1.3333334,0,0,4,15,1,3,2,3,3.0,3.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,5,0.0,4
088555bbe,6.0,0.0,4,1,0.0,0,1,0,0.0,6.0,6.0,0.5,0,0,1,6,1,2,2,3,2.0,3.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,4
0890628f6,10.0,0.0,7,1,0.0,0,1,1,0.0,10.0,10.0,1.0,0,0,1,10,1,3,2,3,2.0,2.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,3
08908240a,7.0,70000.0,4,1,0.0,0,3,0,0.5,5.0,5.5,1.5,0,1,3,5,1,2,2,2,3.0,3.0,3.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0.0,4
08b931d98,6.0,40000.0,1,1,0.0,0,2,0,0.0,6.0,6.0,2.0,0,0,2,6,1,2,2,2,3.0,3.0,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,4
0932e7898,12.0,0.0,5,1,3.0,0,3,1,0.5,17.0,14.5,1.0,1,0,3,17,1,3,2,3,3.0,3.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5,0.0,4
09344463d,12.0,0.0,6,1,1.0,0,3,1,0.5,15.0,13.5,1.0,0,0,3,15,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,5,0.0,4
09359a050,4.833333333333333,50000.0,4,1,0.0,1,6,0,1.0,6.0,7.333333500000001,3.0,0,0,4,6,1,2,2,2,2.0,2.0,2.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,3,0.16666666666666666,3
09395e7d3,16.5,0.0,6,1,2.0,0,2,1,0.0,16.0,16.5,1.3333334,0,0,4,16,1,3,2,3,3.0,2.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,0.0,4
093f0c2c3,8.0,700000.0,6,1,4.0,2,4,1,1.0,17.0,15.5,1.3333334,0,0,2,17,1,3,2,3,3.0,3.0,3.0,0,1,0,0,0,1,0,0,0,0,0,2,2,0,1,1,0,0,1,1,5,0.5,4
0966c7521,4.25,0.0,4,1,0.0,0,4,0,1.0,0.0,3.6666667,2.0,0,0,1,0,1,2,2,2,1.0,2.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,1,0.0,1
09a26c158,7.0,40000.0,1,0,0.0,0,1,1,8.0,7.0,7.0,1.0,0,0,0,7,0,2,2,2,3.0,3.0,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,2
09aaa0480,6.0,0.0,4,1,0.0,0,2,0,1.0,6.0,6.0,1.0,0,0,2,6,1,3,1,2,3.0,2.0,3.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,2
09b195e7a,6.0,0.0,8,1,0.0,0,4,0,1.0,6.0,6.0,0.80000001,0,1,4,6,1,2,2,3,2.0,3.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,3
09b3b7300,10.5,0.0,6,1,1.0,0,4,1,0.0,6.0,10.5,1.3333334,0,1,4,6,1,3,2,3,3.0,3.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,3,0.0,4
